24.01.2023 12:39:33
Iteration 20, minimal length 140
Iteration 40, minimal length 140
Iteration 60, minimal length 140
Iteration 80, minimal length 140
Iteration 100, minimal length 137
Iteration 120, minimal length 137
Iteration 140, minimal length 137
Iteration 160, minimal length 137
Iteration 180, minimal length 137
Iteration 200, minimal length 137
Iteration 220, minimal length 137
Iteration 240, minimal length 137
Iteration 260, minimal length 137
Iteration 280, minimal length 137
Iteration 300, minimal length 137
Iteration 320, minimal length 137
Iteration 340, minimal length 137
Iteration 360, minimal length 137
Iteration 380, minimal length 137
Iteration 400, minimal length 137
Iteration 420, minimal length 137
Iteration 440, minimal length 137
Iteration 460, minimal length 137
Iteration 480, minimal length 137
Iteration 500, minimal length 137
Iteration 520, minimal length 137
Iteration 540, minimal length 137
Iteration 560, minimal length 137
Iteration 580, minimal length 137
Iteration 600, minimal length 137
Iteration 620, minimal length 137
Iteration 640, minimal length 137
Iteration 660, minimal length 137
Iteration 680, minimal length 137
Iteration 700, minimal length 137
Iteration 720, minimal length 137
Iteration 740, minimal length 137
Iteration 760, minimal length 137
Iteration 780, minimal length 137
Iteration 800, minimal length 137
Iteration 820, minimal length 137
Iteration 840, minimal length 137
Iteration 860, minimal length 137
Iteration 880, minimal length 137
Iteration 900, minimal length 137
Iteration 920, minimal length 137
Iteration 940, minimal length 137
Iteration 960, minimal length 137
Iteration 980, minimal length 137
Iteration 1000, minimal length 137

